product_a,commodity_a,dept_a,product_b,commodity_b,dept_b,co_basket_count,support,confidence_a_to_b,confidence_b_to_a,lift
824555,PWDR/CRYSTL DRNK MX,GROCERY,951526,PWDR/CRYSTL DRNK MX,GROCERY,328,0.001186325429319599,0.48520710059171596,0.4243208279430789,173.5472186287193
951526,PWDR/CRYSTL DRNK MX,GROCERY,989075,PWDR/CRYSTL DRNK MX,GROCERY,352,0.001273129729025911,0.4553686934023286,0.45714285714285713,163.5092958787655
1050131,PWDR/CRYSTL DRNK MX,GROCERY,1053763,PWDR/CRYSTL DRNK MX,GROCERY,297,0.0010742032088656124,0.522887323943662,0.31798715203426126,154.78584461802936
900491,PWDR/CRYSTL DRNK MX,GROCERY,1053763,PWDR/CRYSTL DRNK MX,GROCERY,300,0.0010850537463289016,0.5076142131979695,0.32119914346895073,150.2646767899651
989075,PWDR/CRYSTL DRNK MX,GROCERY,1053763,PWDR/CRYSTL DRNK MX,GROCERY,377,0.0013635508745533196,0.4896103896103896,0.40364025695931477,144.93515948719374
951526,PWDR/CRYSTL DRNK MX,GROCERY,1053763,PWDR/CRYSTL DRNK MX,GROCERY,369,0.0013346161079845489,0.47736093143596375,0.3950749464668094,141.30905756653215
824555,PWDR/CRYSTL DRNK MX,GROCERY,1053763,PWDR/CRYSTL DRNK MX,GROCERY,303,0.0010959042837921905,0.44822485207100593,0.32441113490364026,132.68415417558884
833715,SOUP,GROCERY,1003421,SOUP,GROCERY,284,0.0010271842131913602,0.2646784715750233,0.46405228758169936,119.57412178913194
1021164,COUPON/MISC ITEMS,MISC SALES TRAN,5978648, , ,299,0.0010814369005078051,0.906060606060606,0.10429019881409138,87.37748887550073
892008,MEAT - SHELF STABLE,GROCERY,930917,MEAT - SHELF STABLE,GROCERY,284,0.0010271842131913602,0.3141592920353982,0.23946037099494097,73.23778895372264
985119,REFRGRATD JUICES/DRNKS,GROCERY,1033615,REFRGRATD JUICES/DRNKS,GROCERY,306,0.0011067548212554796,0.3241525423728814,0.22955738934733683,67.23405215710707
938700,VEGETABLES - SHELF STABLE,GROCERY,1030819,VEGETABLES - SHELF STABLE,GROCERY,390,0.0014105698702275718,0.17988929889298894,0.4229934924078091,53.944157174760456
1022003,SOUP,GROCERY,1050229,SOUP,GROCERY,387,0.001399719332764283,0.22447795823665892,0.3061708860759494,49.10171187112691
1013321,VEGETABLES - SHELF STABLE,GROCERY,1030819,VEGETABLES - SHELF STABLE,GROCERY,278,0.001005483138264782,0.1463928383359663,0.30151843817787416,43.899433312886444
8090509,SOFT DRINKS,GROCERY,8090521,SOFT DRINKS,GROCERY,299,0.0010814369005078051,0.39707835325365204,0.11794871794871795,43.30801239486498
938700,VEGETABLES - SHELF STABLE,GROCERY,1013321,VEGETABLES - SHELF STABLE,GROCERY,623,0.0022532949465430187,0.2873616236162362,0.3280674038967878,41.83827864344995
8090521,SOFT DRINKS,GROCERY,8090537,SOFT DRINKS,GROCERY,719,0.002600512145368267,0.283629191321499,0.3126086956521739,34.095188405797096
844165,SOFT DRINKS,GROCERY,1076875,SOFT DRINKS,GROCERY,280,0.0010127168299069748,0.09256198347107437,0.3341288782816229,30.539269019112805
903325,BROCCOLI/CAULIFLOWER,PRODUCE,1117514,BROCCOLI/CAULIFLOWER,PRODUCE,307,0.0011103716670765758,0.11003584229390681,0.29154795821462487,28.891880171689014
844165,SOFT DRINKS,GROCERY,1092026,SOFT DRINKS,GROCERY,655,0.0023690340128181015,0.21652892561983472,0.28075439348478354,25.66085875313947
5569230,SOFT DRINKS,GROCERY,5569845,SOFT DRINKS,GROCERY,549,0.0019856483557818896,0.1135705419942077,0.43536875495638383,24.901219454977415
916381,SOFT DRINKS,GROCERY,1053690,SOFT DRINKS,GROCERY,391,0.0014141867160486683,0.30310077519379847,0.11520329994107248,24.691371458067817
5568378,BAG SNACKS,GROCERY,5569327,BAG SNACKS,GROCERY,339,0.0012261107333516588,0.12592867756315007,0.2357440890125174,24.212284066321274
893501,SOFT DRINKS,GROCERY,1053690,SOFT DRINKS,GROCERY,319,0.0011537738169297318,0.2582995951417004,0.09398939304655274,21.041751698042983
970030,PEPPERS-ALL,PRODUCE,995785,PEPPERS-ALL,PRODUCE,401,0.0014503551742596316,0.353927625772286,0.07750289911093931,18.912896344032614
826249,BAKED BREAD/BUNS/ROLLS,GROCERY,1098066,BAKED BREAD/BUNS/ROLLS,GROCERY,1546,0.005591643639414939,0.2808356039963669,0.30674603174603177,15.406061733200698
